"","X","發生時間","發生地點","死亡受傷人數","車種","year","monthday","month","day_time","day","time","death","injured","country","country_region","city","county","district"
"880",880,"105年07月24日 09時40分","臺南市七股區篤加里臺17線與南34-1線路口(附近)","死亡1;受傷0","大型重型1-機車",105,"07月24日 09時40分",7,"24日 09時40分",24,"9時40分",1,0,"臺南市七股區篤加里臺17線與南34-1線路口(附近)",NA,"七股","臺 南 市","七 股 區"
"881",881,"105年07月24日 19時12分","嘉義縣新港鄉南港村大崙23-1號嘉67線00公里450公尺處北向一般車道","死亡1;受傷0","腳踏自行車-慢車;自用-小客車",105,"07月24日 19時12分",7,"24日 19時12分",24,"19時12分",1,0,"嘉義","新港",NA,"嘉 義 縣","新 港 鄉"
"882",882,"105年07月24日 20時26分","苗栗縣泰安鄉錦水村苗62線10.2K(泰安橋30公尺)處(附近)苗62線10公里20公尺處西向外側車道","死亡1;受傷0","自用-小客車;行人-人",105,"07月24日 20時26分",7,"24日 20時26分",24,"20時26分",1,0,"苗栗","泰安",NA,"苗 栗 縣","泰 安 鄉"
"883",883,"105年07月25日 02時58分","桃園市蘆竹區坑口里海山路一段海湖分線61號電桿前(附近)","死亡1;受傷0","普通重型-機車",105,"07月25日 02時58分",7,"25日 02時58分",25,"2時58分",1,0,"桃園市蘆竹區坑口里海山路一段海湖分線61號電桿前(附近)",NA,"蘆竹","桃 園 市","蘆 竹 區"
"884",884,"105年07月26日 09時00分","桃園市蘆竹區中正北路南竹路(口)_V105070305(附近)","死亡1;受傷0","普通重型-機車;營業用-曳引車",105,"07月26日 09時00分",7,"26日 09時00分",26,"9時00分",1,0,"桃園市蘆竹區中正北路南竹路(口)_V105070305(附近)",NA,"蘆竹","桃 園 市","蘆 竹 區"
"885",885,"105年07月26日 15時00分","彰化縣鹿港鎮東興路中正路(口)","死亡1;受傷0","自用-小客車;普通重型-機車",105,"07月26日 15時00分",7,"26日 15時00分",26,"15時00分",1,0,"彰化","鹿港",NA,"彰 化 縣","鹿 港 鎮"
"886",886,"105年07月26日 19時54分","南投縣國姓鄉南港村永安路南港枝90右12電桿處(附近)","死亡1;受傷0","普通重型-機車",105,"07月26日 19時54分",7,"26日 19時54分",26,"19時54分",1,0,"南投","國姓",NA,"南 投 縣","國 姓 鄉"
"887",887,"105年07月26日 21時42分","臺南市後壁區長安里172線25.3公里處(附近)","死亡1;受傷0","腳踏自行車-慢車;自用-小貨車",105,"07月26日 21時42分",7,"26日 21時42分",26,"21時42分",1,0,"臺南市後壁區長安里172線25.3公里處(附近)",NA,"後壁","臺 南 市","後 壁 區"
"888",888,"105年07月27日 07時11分","花蓮縣豐濱鄉台11線63公里500公尺處北向外側車道","死亡1;受傷0","普通重型-機車",105,"07月27日 07時11分",7,"27日 07時11分",27,"7時11分",1,0,"花蓮","豐濱",NA,"花 蓮 縣","豐 濱 鄉"
"889",889,"105年07月27日 07時30分","高雄市內門區內東里一八二線路前0公尺數","死亡1;受傷2","自用-小客車;自用-小貨車;自用-小貨車",105,"07月27日 07時30分",7,"27日 07時30分",27,"7時30分",1,2,"高雄市內門區內東里一八二線路前0公尺數",NA,"內門","高 雄 市","內 門 區"
"890",890,"105年07月27日 18時10分","新北市永和區環河東路1段前0公尺數光復街路口","死亡1;受傷0","自用-小貨車;普通重型-機車",105,"07月27日 18時10分",7,"27日 18時10分",27,"18時10分",1,0,"新北市永和區環河東路1段前0公尺數光復街路口",NA,"永和","新 北 市","永 和 區"
"891",891,"105年07月27日 23時21分","臺北市松山區敦化北路前0公尺數與南京東路4段口","死亡1;受傷0","自用-小客車;普通重型-機車",105,"07月27日 23時21分",7,"27日 23時21分",27,"23時21分",1,0,"臺北市松山區敦化北路前0公尺數與南京東路4段口",NA,"松山","臺 北 市","松 山 區"
"892",892,"105年07月28日 04時50分","臺南市安定區蘇林里2-1號178線13公里600公尺處東向路緣外車道","死亡1;受傷1","自用-小客車;行人-人;自用-小客車",105,"07月28日 04時50分",7,"28日 04時50分",28,"4時50分",1,1,"臺南市安定區蘇林里2-1號178線13公里600公尺處東向路緣外車道",NA,"安定","臺 南 市","安 定 區"
"893",893,"105年07月28日 06時05分","臺中市龍井區國道三號183公里0公尺處北向交流道車道","死亡1;受傷0","其他人-人;自用-大貨車;營業用-半聯結車",105,"07月28日 06時05分",7,"28日 06時05分",28,"6時05分",1,0,"臺中市龍井區國道三號183公里0公尺處北向交流道車道",NA,"龍井","臺 中 市","龍 井 區"
"894",894,"105年07月28日 07時02分","臺東縣池上鄉松吉路(口)台9線323公里550公尺處南向中線車道","死亡1;受傷0","普通重型-機車;拼裝車-其他車;農耕用車(或機械)-其他車;農耕用車(或機械)-其他車;拼裝車-其他車",105,"07月28日 07時02分",7,"28日 07時02分",28,"7時02分",1,0,"臺東","池上",NA,"臺 東 縣","池 上 鄉"
"895",895,"105年07月29日 06時20分","新北市中和區景平路349號前0公尺數349號","死亡1;受傷1","行人-人;普通重型-機車",105,"07月29日 06時20分",7,"29日 06時20分",29,"6時20分",1,1,"新北市中和區景平路349號前0公尺數349號",NA,"中和","新 北 市","中 和 區"
"896",896,"105年07月29日 10時37分","臺南市北區文成三路文賢三街(口)","死亡1;受傷0","自用-小貨車;普通輕型-機車",105,"07月29日 10時37分",7,"29日 10時37分",29,"10時37分",1,0,"臺南市北區文成三路文賢三街(口)",NA,"北","臺 南 市","北 區 文"
"897",897,"105年07月29日 11時29分","彰化縣鹿港鎮","死亡1;受傷0","營業用-曳引車;普通重型-機車",105,"07月29日 11時29分",7,"29日 11時29分",29,"11時29分",1,0,"彰化","鹿港",NA,"彰 化 縣","鹿 港 鎮"
"898",898,"105年07月29日 11時45分","臺中市霧峰區坑口里中正路648-7號旁(附近)","死亡1;受傷1","普通重型-機車;自用-小客車;自用-小客車;普通重型-機車",105,"07月29日 11時45分",7,"29日 11時45分",29,"11時45分",1,1,"臺中市霧峰區坑口里中正路648-7號旁(附近)",NA,"霧峰","臺 中 市","霧 峰 區"
"899",899,"105年07月29日 18時35分","南投縣名間鄉濁水村南雲路71號","死亡1;受傷0","自用-大貨車;普通重型-機車",105,"07月29日 18時35分",7,"29日 18時35分",29,"18時35分",1,0,"南投","名間",NA,"南 投 縣","名 間 鄉"
"900",900,"105年07月29日 19時27分","高雄市左營區大中地下道路東向西號前0公尺數東向西號","死亡1;受傷2","普通重型-機車;普通重型-機車;普通重型-機車",105,"07月29日 19時27分",7,"29日 19時27分",29,"19時27分",1,2,"高雄市左營區大中地下道路東向西號前0公尺數東向西號",NA,"左營","高 雄 市","左 營 區"
"901",901,"105年07月29日 20時15分","屏東縣麟洛鄉中山路與大同街口(附近)","死亡1;受傷1","自用-小客車;普通重型-機車",105,"07月29日 20時15分",7,"29日 20時15分",29,"20時15分",1,1,"屏東","麟洛",NA,"屏 東 縣","麟 洛 鄉"
"902",902,"105年07月29日 22時20分","臺北市中山區樂群三路前0公尺數與敬業三路口","死亡1;受傷0","自用-小客車;普通重型-機車",105,"07月29日 22時20分",7,"29日 22時20分",29,"22時20分",1,0,"臺北市中山區樂群三路前0公尺數與敬業三路口",NA,"中山","臺 北 市","中 山 區"
"903",903,"105年07月30日 02時22分","新北市土城區學府路1段3號前0公尺數3號","死亡1;受傷1","普通重型-機車;行人-人",105,"07月30日 02時22分",7,"30日 02時22分",30,"2時22分",1,1,"新北市土城區學府路1段3號前0公尺數3號",NA,"土城","新 北 市","土 城 區"
"904",904,"105年07月30日 04時41分","彰化縣和美鎮美港公路4.7K處","死亡1;受傷0","行人-人;自用-小客車",105,"07月30日 04時41分",7,"30日 04時41分",30,"4時41分",1,0,"彰化","和美",NA,"彰 化 縣","和 美 鎮"
"905",905,"105年07月30日 09時05分","花蓮縣秀林鄉和平村大濁水溪橋往南100公尺處(和平所)(附近)台9線156公里200公尺處北向外側車道","死亡2;受傷1","計程車-小客車;腳踏自行車-慢車;腳踏自行車-慢車",105,"07月30日 09時05分",7,"30日 09時05分",30,"9時05分",2,1,"花蓮","秀林",NA,"花 蓮 縣","秀 林 鄉"
"906",906,"105年07月30日 16時32分","嘉義縣民雄鄉國道一號254公里400公尺處南向中線車道","死亡1;受傷1","自用-小客車;營業用-半聯結車;自用-小客車;自用-小客車",105,"07月30日 16時32分",7,"30日 16時32分",30,"16時32分",1,1,"嘉義","民雄",NA,"嘉 義 縣","民 雄 鄉"
"907",907,"105年07月31日 16時52分","彰化縣彰化市彰興路2段(快官所轄區)","死亡1;受傷0","拼裝車-其他車",105,"07月31日 16時52分",7,"31日 16時52分",31,"16時52分",1,0,"彰化","彰化","彰興路2段(快官所轄","彰 化 縣","彰 化 市"
"908",908,"105年08月01日 08時30分","雲林縣林內鄉中正路成功路(口)","死亡1;受傷0","自用-小客車;行人-人",105,"08月01日 08時30分",8,"01日 08時30分",1,"8時30分",1,0,"雲林","林內",NA,"雲 林 縣","林 內 鄉"
"909",909,"105年08月01日 10時51分","新竹縣竹北市隘口二路高鐵九路(附近)","死亡1;受傷0","普通重型-機車;營業用-小貨車",105,"08月01日 10時51分",8,"01日 10時51分",1,"10時51分",1,0,"新竹","竹北","隘口二路高鐵九路(附近)","新 竹 縣","竹 北 市"
"910",910,"105年08月01日 12時40分","宜蘭縣宜蘭市進士路5之28號","死亡1;受傷1","普通重型-機車;自用-小客車",105,"08月01日 12時40分",8,"01日 12時40分",1,"12時40分",1,1,"宜蘭","宜蘭","進士路5之28號","宜 蘭 縣","宜 蘭 市"
"911",911,"105年08月01日 16時30分","南投縣草屯鎮北勢里永安路玉屏路(口)","死亡2;受傷3","自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車",105,"08月01日 16時30分",8,"01日 16時30分",1,"16時30分",2,3,"南投","草屯",NA,"南 投 縣","草 屯 鎮"
"912",912,"105年08月01日 19時23分","高雄市林園區村鳳林路1段前0公尺數林園南路路口","死亡1;受傷0","自用-小客車;行人-人",105,"08月01日 19時23分",8,"01日 19時23分",1,"19時23分",1,0,"高雄市林園區村鳳林路1段前0公尺數林園南路路口",NA,"林園","高 雄 市","林 園 區"
"913",913,"105年08月02日 08時03分","新竹縣竹東鎮東寧路三段175號","死亡1;受傷1","普通重型-機車;行人-人",105,"08月02日 08時03分",8,"02日 08時03分",2,"8時03分",1,1,"新竹","竹東",NA,"新 竹 縣","竹 東 鎮"
"914",914,"105年08月02日 09時25分","彰化縣二水鄉員集路5段坑口巷(口)","死亡1;受傷1","普通重型-機車;大型重型1-機車",105,"08月02日 09時25分",8,"02日 09時25分",2,"9時25分",1,1,"彰化","二水",NA,"彰 化 縣","二 水 鄉"
"915",915,"105年08月02日 09時30分","雲林縣四湖鄉四湖村中山東路環湖東路(口)","死亡1;受傷0","普通重型-機車;自用-大貨車",105,"08月02日 09時30分",8,"02日 09時30分",2,"9時30分",1,0,"雲林","四湖",NA,"雲 林 縣","四 湖 鄉"
"916",916,"105年08月02日 14時31分","臺中市大肚區社腳里沙田路一段925號路燈桿01400(附近)","死亡1;受傷3","自用-小客車;自用-小客車;自用-小客車;自用-小客車",105,"08月02日 14時31分",8,"02日 14時31分",2,"14時31分",1,3,"臺中市大肚區社腳里沙田路一段925號路燈桿01400(附近)",NA,"大肚","臺 中 市","大 肚 區"
"917",917,"105年08月02日 21時10分","花蓮縣壽豐鄉豐山村中興街92號-豐田所轄區(附近)","死亡1;受傷0","普通重型-機車",105,"08月02日 21時10分",8,"02日 21時10分",2,"21時10分",1,0,"花蓮","壽豐",NA,"花 蓮 縣","壽 豐 鄉"
"918",918,"105年08月03日 01時29分","臺北市南港區南港路1段177號前0公尺數177號","死亡1;受傷0","自用-小客車;行人-人",105,"08月03日 01時29分",8,"03日 01時29分",3,"1時29分",1,0,"臺北市南港區南港路1段177號前0公尺數177號",NA,"南港","臺 北 市","南 港 區"
"919",919,"105年08月03日 07時12分","屏東縣萬丹鄉廈南村南北路二段與寶田路535巷口(附近)","死亡1;受傷0","自用-小客車;普通重型-機車",105,"08月03日 07時12分",8,"03日 07時12分",3,"7時12分",1,0,"屏東","萬丹",NA,"屏 東 縣","萬 丹 鄉"
"920",920,"105年08月03日 08時53分","新北市新店區國道三號28公里400公尺處北向內側車道","死亡1;受傷0","營業用-半聯結車",105,"08月03日 08時53分",8,"03日 08時53分",3,"8時53分",1,0,"新北市新店區國道三號28公里400公尺處北向內側車道",NA,"新店","新 北 市","新 店 區"
