"","X","發生時間","發生地點","死亡受傷人數","車種","year","monthday","month","day_time","day","time","death","injured","country","country_region","city","county","district"
"1",1,"105年01月01日 02時45分","彰化縣鹿港鎮鹿工北三路工業西七路(口)","死亡1;受傷1","自用-小客車;自用-小客車",105,"01月01日 02時45分",1,"01日 02時45分",1,"2時45分",1,1,"彰化","鹿港",NA,"彰 化 縣","鹿 港 鎮"
"2",2,"105年01月01日 04時37分","宜蘭縣員山鄉金山東路397號宜16線0公里100公尺處西向內側車道","死亡1;受傷0","普通重型-機車",105,"01月01日 04時37分",1,"01日 04時37分",1,"4時37分",1,0,"宜蘭","員山",NA,"宜 蘭 縣","員 山 鄉"
"3",3,"105年01月01日 05時15分","屏東縣萬巒鄉萬和村南進路1之9號前(附近)","死亡1;受傷1","普通重型-機車;普通重型-機車",105,"01月01日 05時15分",1,"01日 05時15分",1,"5時15分",1,1,"屏東","萬巒",NA,"屏 東 縣","萬 巒 鄉"
"4",4,"105年01月01日 05時50分","屏東縣屏東市瑞光里香揚巷1-20號(附近)","死亡1;受傷0","自用-小客車;行人-人",105,"01月01日 05時50分",1,"01日 05時50分",1,"5時50分",1,0,"屏東","屏東","瑞光里香揚巷1-20號(附近)","屏 東 縣","屏 東 市"
"5",5,"105年01月01日 05時56分","彰化縣員林市萬年路1段員集路(口)","死亡1;受傷0","普通重型-機車;營業用-半聯結車",105,"01月01日 05時56分",1,"01日 05時56分",1,"5時56分",1,0,"彰化","員林","萬年路1段員集路(口)","彰 化 縣","員 林 市"
"6",6,"105年01月01日 07時23分","臺南市白河區玉豐里南89線04公里100公尺處南向外側車道","死亡1;受傷0","普通重型-機車;自用-大貨車",105,"01月01日 07時23分",1,"01日 07時23分",1,"7時23分",1,0,"臺南市白河區玉豐里南89線04公里100公尺處南向外側車道",NA,"白河","臺 南 市","白 河 區"
"7",7,"105年01月01日 08時19分","臺南市玉井區竹圍里臺3線371公里500公尺處南向慢車道","死亡1;受傷0","自用-小貨車;普通重型-機車",105,"01月01日 08時19分",1,"01日 08時19分",1,"8時19分",1,0,"臺南市玉井區竹圍里臺3線371公里500公尺處南向慢車道",NA,"玉井","臺 南 市","玉 井 區"
"8",8,"105年01月01日 12時05分","桃園市新屋區下田里龍莊路172號旁(附近)","死亡1;受傷0","自用-小客車;普通重型-機車",105,"01月01日 12時05分",1,"01日 12時05分",1,"12時05分",1,0,"桃園市新屋區下田里龍莊路172號旁(附近)",NA,"新屋","桃 園 市","新 屋 區"
"9",9,"105年01月01日 16時40分","南投縣南投市營南里防汛道路上(南投市路燈編號19196號處)(附近)","死亡1;受傷1","普通重型-機車;腳踏自行車-慢車",105,"01月01日 16時40分",1,"01日 16時40分",1,"16時40分",1,1,"南投","南投","營南里防汛道路上(南投","南 投 縣","南 投 市"
"10",10,"105年01月01日 17時54分","臺南市北區小東路成杏校區前(附近)","死亡1;受傷1","行人-人;普通重型-機車",105,"01月01日 17時54分",1,"01日 17時54分",1,"17時54分",1,1,"臺南市北區小東路成杏校區前(附近)",NA,"北","臺 南 市","北 區 小"
"11",11,"105年01月01日 23時15分","臺東縣卑南鄉台9線360公里600公尺處南向外側車道","死亡1;受傷0","普通重型-機車",105,"01月01日 23時15分",1,"01日 23時15分",1,"23時15分",1,0,"臺東","卑南",NA,"臺 東 縣","卑 南 鄉"
"12",12,"105年01月02日 05時45分","高雄市岡山區嘉興路641號前0公尺數台19甲65公里900公尺處北向一般車道(未劃分車道641號永興木業前","死亡1;受傷1","自用-小貨車;自用-小貨車",105,"01月02日 05時45分",1,"02日 05時45分",2,"5時45分",1,1,"高雄市岡山區嘉興路641號前0公尺數台19甲65公里900公尺處北向一般車道(未劃分車道641號永興木業前",NA,"岡山","高 雄 市","岡 山 區"
"13",13,"105年01月02日 15時33分","臺中市龍井區山腳里中山二路二段中山幹36號G4057BB29電桿(附近)","死亡1;受傷0","普通重型-機車",105,"01月02日 15時33分",1,"02日 15時33分",2,"15時33分",1,0,"臺中市龍井區山腳里中山二路二段中山幹36號G4057BB29電桿(附近)",NA,"龍井","臺 中 市","龍 井 區"
"14",14,"105年01月02日 18時09分","雲林縣莿桐鄉埔尾村油車路台糖鐵道路〈埔尾29電桿旁〉(附近)","死亡1;受傷0","自用-小客車;行人-人",105,"01月02日 18時09分",1,"02日 18時09分",2,"18時09分",1,0,"雲林","莿桐",NA,"雲 林 縣","莿 桐 鄉"
"15",15,"105年01月02日 18時20分","臺南市善化區國道三號343公里00公尺處北向內側車道","死亡1;受傷1","普通重型-機車;自用-小客車",105,"01月02日 18時20分",1,"02日 18時20分",2,"18時20分",1,1,"臺南市善化區國道三號343公里00公尺處北向內側車道",NA,"善化","臺 南 市","善 化 區"
"16",16,"105年01月03日 03時10分","高雄市前鎮區班超路前0公尺數崗山中街路口","死亡1;受傷2","普通重型-機車;普通重型-機車;普通重型-機車",105,"01月03日 03時10分",1,"03日 03時10分",3,"3時10分",1,2,"高雄市前",NA,"前","高 雄 市","前 鎮 區"
"17",17,"105年01月03日 06時24分","臺南市新營區太北里太子宮146之28號前(附近)臺19甲線2公里800公尺處北向機車優先車道","死亡1;受傷1","行人-人;普通重型-機車",105,"01月03日 06時24分",1,"03日 06時24分",3,"6時24分",1,1,"臺南市新營區太北里太子宮146之28號前(附近)臺19甲線2公里800公尺處北向機車優先車道",NA,"新營","臺 南 市","新 營 區"
"18",18,"105年01月04日 12時05分","嘉義縣民雄鄉國道一號259公里250公尺處北向外側車道","死亡1;受傷0","營業用-半聯結車;營業用-半聯結車",105,"01月04日 12時05分",1,"04日 12時05分",4,"12時05分",1,0,"嘉義","民雄",NA,"嘉 義 縣","民 雄 鄉"
"19",19,"105年01月05日 11時28分","彰化縣彰化市國道一號192公里100公尺處南向內側車道","死亡1;受傷3","自用-小客車;自用-小客車;自用-小客車;自用-小客車",105,"01月05日 11時28分",1,"05日 11時28分",5,"11時28分",1,3,"彰化","彰化","國道一號192公里100公尺處南向內側車道","彰 化 縣","彰 化 市"
"20",20,"105年01月05日 14時46分","屏東縣潮州鎮晉江路1號北向車道(附近)","死亡1;受傷0","自用-小客車;普通重型-機車",105,"01月05日 14時46分",1,"05日 14時46分",5,"14時46分",1,0,"屏東","潮州",NA,"屏 東 縣","潮 州 鎮"
"21",21,"105年01月05日 19時52分","新竹縣橫山鄉中豐路二段269號前路口(附近)","死亡1;受傷0","自用-小客車;行人-人",105,"01月05日 19時52分",1,"05日 19時52分",5,"19時52分",1,0,"新竹","橫山",NA,"新 竹 縣","橫 山 鄉"
"22",22,"105年01月05日 19時58分","嘉義縣布袋鎮新厝里台17線125公里921公尺處北向外側車道","死亡1;受傷0","自用-小貨車;普通輕型-機車",105,"01月05日 19時58分",1,"05日 19時58分",5,"19時58分",1,0,"嘉義","布袋",NA,"嘉 義 縣","布 袋 鎮"
"23",23,"105年01月05日 20時25分","苗栗縣頭份市濫坑里尖豐路721號前(附近)","死亡1;受傷1","普通重型-機車;普通重型-機車",105,"01月05日 20時25分",1,"05日 20時25分",5,"20時25分",1,1,"苗栗","頭份","濫坑里尖豐路721號前(附近)","苗 栗 縣","頭 份 市"
"24",24,"105年01月05日 23時18分","雲林縣莿桐鄉延平路223號","死亡2;受傷0","自用-小客車;自用-小客車",105,"01月05日 23時18分",1,"05日 23時18分",5,"23時18分",2,0,"雲林","莿桐",NA,"雲 林 縣","莿 桐 鄉"
"25",25,"105年01月06日 07時24分","臺中市沙鹿區六路里平等路平等五街(口)","死亡1;受傷0","自用-小客車;普通重型-機車;自用-小貨車",105,"01月06日 07時24分",1,"06日 07時24分",6,"7時24分",1,0,"臺中市沙鹿區六路里平等路平等五街(口)",NA,"沙鹿","臺 中 市","沙 鹿 區"
"26",26,"105年01月06日 13時22分","臺南市北區北安路一段241號","死亡1;受傷0","普通重型-機車;自用-小客車",105,"01月06日 13時22分",1,"06日 13時22分",6,"13時22分",1,0,"臺南市北區北安路一段241號",NA,"北","臺 南 市","北 區 北"
"27",27,"105年01月06日 15時50分","高雄市前金區村中華三路前0公尺數六合二路路口","死亡1;受傷0","自用-大貨車;行人-人",105,"01月06日 15時50分",1,"06日 15時50分",6,"15時50分",1,0,"高雄市前金區村中華三路前0公尺數六合二路路口",NA,"前金","高 雄 市","前 金 區"
"28",28,"105年01月06日 19時00分","高雄市橋頭區村甲樹路前0公尺數","死亡1;受傷0","普通重型-機車;自用-小客車",105,"01月06日 19時00分",1,"06日 19時00分",6,"19時00分",1,0,"高雄市橋頭區村甲樹路前0公尺數",NA,"橋頭","高 雄 市","橋 頭 區"
"29",29,"105年01月06日 20時00分","臺南市安南區長和路二段12巷213弄","死亡1;受傷0","自用-小客車;行人-人",105,"01月06日 20時00分",1,"06日 20時00分",6,"20時00分",1,0,"臺南市安南區長和路二段12巷213弄",NA,"安南","臺 南 市","安 南 區"
"30",30,"105年01月06日 20時10分","新北市三重區三和路4段32巷前0公尺數32巷","死亡1;受傷0","普通重型-機車;營業用-曳引車",105,"01月06日 20時10分",1,"06日 20時10分",6,"20時10分",1,0,"新北市三重區三和路4段32巷前0公尺數32巷",NA,"三重","新 北 市","三 重 區"
"31",31,"105年01月07日 04時42分","宜蘭縣冬山鄉冬山路三段301巷冬山路(口)台9線92公里900公尺處南向中外車道","死亡1;受傷0","人力車-慢車;自用-小貨車",105,"01月07日 04時42分",1,"07日 04時42分",7,"4時42分",1,0,"宜蘭","冬山",NA,"宜 蘭 縣","冬 山 鄉"
"32",32,"105年01月07日 08時46分","雲林縣斗六市國道三號262公里100公尺處北向外側車道","死亡1;受傷0","自用-大貨車;其他人-人;自用-大貨車",105,"01月07日 08時46分",1,"07日 08時46分",7,"8時46分",1,0,"雲林","斗六","國道三號262公里100公尺處北向外側車道","雲 林 縣","斗 六 市"
"33",33,"105年01月07日 17時45分","高雄市左營區崇德路前0公尺數文康路路口","死亡1;受傷0","自用-小客車;行人-人",105,"01月07日 17時45分",1,"07日 17時45分",7,"17時45分",1,0,"高雄市左營區崇德路前0公尺數文康路路口",NA,"左營","高 雄 市","左 營 區"
"34",34,"105年01月07日 21時40分","南投縣埔里鎮向善里中山路四段觀音3號隧道口內(附近)台14線49公里500公尺處東向內側車道","死亡1;受傷1","普通重型-機車;普通重型-機車",105,"01月07日 21時40分",1,"07日 21時40分",7,"21時40分",1,1,"南投","埔里",NA,"南 投 縣","埔 里 鎮"
"35",35,"105年01月08日 02時08分","臺中市西屯區潮洋里臺灣大道近朝富路(附近)","死亡1;受傷0","普通重型-機車",105,"01月08日 02時08分",1,"08日 02時08分",8,"2時08分",1,0,"臺中市西屯區潮洋里臺灣大道近朝富路(附近)",NA,"西屯","臺 中 市","西 屯 區"
"36",36,"105年01月08日 04時20分","屏東縣枋寮鄉保生村里中正大路5號之7(附近)","死亡1;受傷0","自用-大貨車",105,"01月08日 04時20分",1,"08日 04時20分",8,"4時20分",1,0,"屏東","枋寮",NA,"屏 東 縣","枋 寮 鄉"
"37",37,"105年01月08日 05時28分","高雄市小港區沿海一路前0公尺數長興街口路口","死亡1;受傷0","自用-小客車;行人-人",105,"01月08日 05時28分",1,"08日 05時28分",8,"5時28分",1,0,"高雄市小港區沿海一路前0公尺數長興街口路口",NA,"小港","高 雄 市","小 港 區"
"38",38,"105年01月08日 06時14分","臺中市北屯區新平里中清路二段365號","死亡1;受傷0","行人-人;自用-小貨車",105,"01月08日 06時14分",1,"08日 06時14分",8,"6時14分",1,0,"臺中市北屯區新平里中清路二段365號",NA,"北屯","臺 中 市","北 屯 區"
"39",39,"105年01月08日 07時50分","雲林縣斗南鎮大東里大東148之2號(新崙所轄)(附近)","死亡1;受傷0","普通重型-機車;自用-小客車",105,"01月08日 07時50分",1,"08日 07時50分",8,"7時50分",1,0,"雲林","斗南",NA,"雲 林 縣","斗 南 鎮"
"40",40,"105年01月08日 09時20分","苗栗縣南庄鄉中正路與民生街口(附近)","死亡1;受傷0","自用-小客車;行人-人",105,"01月08日 09時20分",1,"08日 09時20分",8,"9時20分",1,0,"苗栗","南庄",NA,"苗 栗 縣","南 庄 鄉"
"41",41,"105年01月08日 09時45分","雲林縣口湖鄉台17線與水井路口(附近)","死亡1;受傷0","普通重型-機車;自用-小貨車",105,"01月08日 09時45分",1,"08日 09時45分",8,"9時45分",1,0,"雲林","口湖",NA,"雲 林 縣","口 湖 鄉"
"42",42,"105年01月08日 10時41分","新北市瑞芳區明燈路1段23號前0公尺數23號","死亡1;受傷1","自用-小貨車;普通重型-機車",105,"01月08日 10時41分",1,"08日 10時41分",8,"10時41分",1,1,"新北市瑞芳區明燈路1段23號前0公尺數23號",NA,"瑞芳","新 北 市","瑞 芳 區"
"43",43,"105年01月08日 17時09分","臺中市西屯區潮洋里龍德路二段與龍富二十二路口(附近)","死亡1;受傷0","自用-小客車;行人-人",105,"01月08日 17時09分",1,"08日 17時09分",8,"17時09分",1,0,"臺中市西屯區潮洋里龍德路二段與龍富二十二路口(附近)",NA,"西屯","臺 中 市","西 屯 區"
"44",44,"105年01月08日 19時10分","雲林縣斗南鎮靖興里延平路三段175號台一線246公里500公尺處北向慢車道","死亡1;受傷0","自用-小貨車;普通重型-機車;營業用-曳引車",105,"01月08日 19時10分",1,"08日 19時10分",8,"19時10分",1,0,"雲林","斗南",NA,"雲 林 縣","斗 南 鎮"
"45",45,"105年01月09日 05時05分","臺東縣台東市豐原街478巷10097650號電桿處(附近)","死亡1;受傷0","普通重型-機車",105,"01月09日 05時05分",1,"09日 05時05分",9,"5時05分",1,0,"臺東","台東","豐原街478巷10097650號電桿處(附近)","臺 東 縣","台 東 市"
"46",46,"105年01月09日 11時15分","桃園市蘆竹區坑口里南山北路二段芝菁分線28號電桿前(附近)","死亡1;受傷0","普通重型-機車",105,"01月09日 11時15分",1,"09日 11時15分",9,"11時15分",1,0,"桃園市蘆竹區坑口里南山北路二段芝菁分線28號電桿前(附近)",NA,"蘆竹","桃 園 市","蘆 竹 區"
"47",47,"105年01月09日 11時53分","臺中市烏日區螺潭里溪南路二段68巷與溪南路二段68巷250巷口(附近)","死亡1;受傷0","營業用-半聯結車;普通重型-機車",105,"01月09日 11時53分",1,"09日 11時53分",9,"11時53分",1,0,"臺中市烏日區螺潭里溪南路二段68巷與溪南路二段68巷250巷口(附近)",NA,"烏日","臺 中 市","烏 日 區"
"48",48,"105年01月09日 14時10分","南投縣埔里鎮信義路中華路(口)台14線057公里100公尺處北向內側車道","死亡1;受傷0","普通重型-機車;自用-小客車;自用-小客車",105,"01月09日 14時10分",1,"09日 14時10分",9,"14時10分",1,0,"南投","埔里",NA,"南 投 縣","埔 里 鎮"
"49",49,"105年01月10日 06時32分","雲林縣麥寮鄉中興村工業路東向快車道(長庚醫院前)(附近)","死亡1;受傷1","普通重型-機車;自用-小客車;普通重型-機車",105,"01月10日 06時32分",1,"10日 06時32分",10,"6時32分",1,1,"雲林","麥寮",NA,"雲 林 縣","麥 寮 鄉"
"50",50,"105年01月10日 08時00分","臺南市善化區東昌里臺1線北上310.7公里處(附近)臺1線310公里700公尺處北向外側車道","死亡1;受傷0","普通重型-機車;自用-大貨車",105,"01月10日 08時00分",1,"10日 08時00分",10,"8時00分",1,0,"臺南市善化區東昌里臺1線北上310.7公里處(附近)臺1線310公里700公尺處北向外側車道",NA,"善化","臺 南 市","善 化 區"
"51",51,"105年01月10日 09時40分","屏東縣東港鎮興東路65-12號(附近)","死亡1;受傷0","腳踏自行車-慢車;自用-小客車",105,"01月10日 09時40分",1,"10日 09時40分",10,"9時40分",1,0,"屏東","東港",NA,"屏 東 縣","東 港 鎮"
"52",52,"105年01月10日 19時26分","高雄市岡山區為隨路前0公尺數","死亡1;受傷0","自用-小客車;普通重型-機車",105,"01月10日 19時26分",1,"10日 19時26分",10,"19時26分",1,0,"高雄市岡山區為隨路前0公尺數",NA,"岡山","高 雄 市","岡 山 區"
"53",53,"105年01月10日 20時32分","桃園市八德區興仁里中山一路82-1號","死亡1;受傷2","自用-小客車;普通重型-機車;普通重型-機車",105,"01月10日 20時32分",1,"10日 20時32分",10,"20時32分",1,2,"桃園市八德區興仁里中山一路82-1號",NA,"八德","桃 園 市","八 德 區"
"54",54,"105年01月10日 23時00分","雲林縣虎尾鎮興中里清雲路145線17公里500公尺處北向一般車道","死亡1;受傷0","行人-人;自用-小客車",105,"01月10日 23時00分",1,"10日 23時00分",10,"23時00分",1,0,"雲林","虎尾",NA,"雲 林 縣","虎 尾 鎮"
"55",55,"105年01月11日 05時59分","新竹市東區光復路二段481號","死亡1;受傷0","自用-小客車;拼裝車-其他車",105,"01月11日 05時59分",1,"11日 05時59分",11,"5時59分",1,0,"新竹市東區光復路二段481號",NA,"東","新 竹 市","東 區 光"
"56",56,"105年01月11日 06時22分","彰化縣和美鎮彰草路3段","死亡1;受傷0","普通重型-機車;自用-大貨車",105,"01月11日 06時22分",1,"11日 06時22分",11,"6時22分",1,0,"彰化","和美",NA,"彰 化 縣","和 美 鎮"
"57",57,"105年01月11日 07時36分","嘉義縣東石鄉龍港村166線4公里100公尺處東向一般車道","死亡1;受傷1","普通重型-機車;自用-小客車",105,"01月11日 07時36分",1,"11日 07時36分",11,"7時36分",1,1,"嘉義","東石",NA,"嘉 義 縣","東 石 鄉"
"58",58,"105年01月11日 11時27分","新北市板橋區臺65線道路前0公尺數5.3K處(新莊往土城方向)","死亡1;受傷2","自用-小客車;自用-小客車;自用-小客車;自用-小客車",105,"01月11日 11時27分",1,"11日 11時27分",11,"11時27分",1,2,"新北市板橋區臺65線道路前0公尺數5.3K處(新莊往土城方向)",NA,"板橋","新 北 市","板 橋 區"
"59",59,"105年01月11日 13時23分","花蓮縣吉安鄉華工六路90巷南濱路(口)-光華所轄區(附近)193線21公里0公尺處北向外側車道","死亡3;受傷0","自用-曳引車;自用-小貨車;自用-小貨車;自用-小貨車",105,"01月11日 13時23分",1,"11日 13時23分",11,"13時23分",3,0,"花蓮","吉安",NA,"花 蓮 縣","吉 安 鄉"
"60",60,"105年01月11日 21時08分","新北市樹林區大安路前0公尺數潭興街路口","死亡1;受傷0","自用-小客車;腳踏自行車-慢車",105,"01月11日 21時08分",1,"11日 21時08分",11,"21時08分",1,0,"新北市樹林區大安路前0公尺數潭興街路口",NA,"樹林","新 北 市","樹 林 區"
"61",61,"105年01月12日 01時26分","新北市淡水區中正路1段87巷前0公尺數87巷","死亡1;受傷4","自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車",105,"01月12日 01時26分",1,"12日 01時26分",12,"1時26分",1,4,"新北市淡水區中正路1段87巷前0公尺數87巷",NA,"淡水","新 北 市","淡 水 區"
"62",62,"105年01月12日 07時29分","彰化縣彰化市師大路對面(卦山所)","死亡1;受傷0","民營客運-大客車;普通重型-機車",105,"01月12日 07時29分",1,"12日 07時29分",12,"7時29分",1,0,"彰化","彰化","師大路對面(卦山所)","彰 化 縣","彰 化 市"
"63",63,"105年01月12日 19時53分","臺南市白河區河東里172線032公里600公尺處西向外側車道","死亡1;受傷0","普通重型-機車",105,"01月12日 19時53分",1,"12日 19時53分",12,"19時53分",1,0,"臺南市白河區河東里172線032公里600公尺處西向外側車道",NA,"白河","臺 南 市","白 河 區"
"64",64,"105年01月13日 02時00分","臺東縣台東市建農里知本路二段育樂路(口)台11線175公里250公尺處北向外側車道","死亡1;受傷0","普通重型-機車;營業用-大貨車",105,"01月13日 02時00分",1,"13日 02時00分",13,"2時00分",1,0,"臺東","台東","建農里知本路二段育樂路(口)台11線175公里250公尺處北向外側車道","臺 東 縣","台 東 市"
"65",65,"105年01月13日 04時43分","高雄市旗山區村旗南三路167號前0公尺數167之31號","死亡1;受傷0","營業用-大貨車;普通重型-機車",105,"01月13日 04時43分",1,"13日 04時43分",13,"4時43分",1,0,"高雄市旗山區村旗南三路167號前0公尺數167之31號",NA,"旗山","高 雄 市","旗 山 區"
"66",66,"105年01月13日 12時38分","桃園市楊梅區社子里民生路新富64A電桿對面(附近)","死亡1;受傷0","普通重型-機車;自用-大貨車",105,"01月13日 12時38分",1,"13日 12時38分",13,"12時38分",1,0,"桃園市楊梅區社子里民生路新富64A電桿對面(附近)",NA,"楊梅","桃 園 市","楊 梅 區"
"67",67,"105年01月14日 10時58分","臺中市北區賴厝里漢口路四段214號","死亡1;受傷1","普通重型-機車;行人-人",105,"01月14日 10時58分",1,"14日 10時58分",14,"10時58分",1,1,"臺中市北區賴厝里漢口路四段214號",NA,"北","臺 中 市","北 區 賴"
"68",68,"105年01月14日 20時43分","新竹縣湖口鄉成功路八德路(口)","死亡1;受傷0","自用-小客車",105,"01月14日 20時43分",1,"14日 20時43分",14,"20時43分",1,0,"新竹","湖口",NA,"新 竹 縣","湖 口 鄉"
"69",69,"105年01月15日 02時52分","新北市板橋區民權路前0公尺數中山路路口","死亡1;受傷1","自用-小客車;普通重型-機車;自用-小客車",105,"01月15日 02時52分",1,"15日 02時52分",15,"2時52分",1,1,"新北市板橋區民權路前0公尺數中山路路口",NA,"板橋","新 北 市","板 橋 區"
"70",70,"105年01月15日 19時18分","臺中市清水區＊榔里鰲新路111巷旁。(附近)","死亡1;受傷1","其他車-其他車;普通重型-機車;自用-小客車",105,"01月15日 19時18分",1,"15日 19時18分",15,"19時18分",1,1,"臺中市清水區＊榔里鰲新路111巷旁。(附近)",NA,"清水","臺 中 市","清 水 區"
"71",71,"105年01月15日 19時35分","臺北市大安區敦化南路1段289號前0公尺數289號","死亡1;受傷0","租賃車-小客車;行人-人",105,"01月15日 19時35分",1,"15日 19時35分",15,"19時35分",1,0,"臺北市大安區敦化南路1段289號前0公尺數289號",NA,"大安","臺 北 市","大 安 區"
"72",72,"105年01月15日 22時17分","臺中市烏日區山線202公里705公尺處成功東路","死亡1;受傷0","行人-人;火車-其他車",105,"01月15日 22時17分",1,"15日 22時17分",15,"22時17分",1,0,"臺中市烏日區山線202公里705公尺處成功東路",NA,"烏日","臺 中 市","烏 日 區"
"73",73,"105年01月16日 09時01分","桃園市大溪區介壽路570號","死亡1;受傷0","普通重型-機車",105,"01月16日 09時01分",1,"16日 09時01分",16,"9時01分",1,0,"桃園市大溪區介壽路570號",NA,"大溪","桃 園 市","大 溪 區"
"74",74,"105年01月16日 09時30分","南投縣仁愛鄉台14線72公里550公尺處東向外側車道","死亡1;受傷2","自用-小客車;自用-小客車;自用-小客車",105,"01月16日 09時30分",1,"16日 09時30分",16,"9時30分",1,2,"南投","仁愛",NA,"南 投 縣","仁 愛 鄉"
"75",75,"105年01月16日 09時32分","臺中市清水區國道四號4公里400公尺處西向外側路肩車道","死亡1;受傷0","自用-小客車;自用-小客車",105,"01月16日 09時32分",1,"16日 09時32分",16,"9時32分",1,0,"臺中市清水區國道四號4公里400公尺處西向外側路肩車道",NA,"清水","臺 中 市","清 水 區"
"76",76,"105年01月16日 13時03分","嘉義縣水上鄉水上村中華路199巷50號","死亡1;受傷0","自用-小貨車;普通重型-機車",105,"01月16日 13時03分",1,"16日 13時03分",16,"13時03分",1,0,"嘉義","水上",NA,"嘉 義 縣","水 上 鄉"
"77",77,"105年01月16日 14時10分","新竹縣關西鎮錦山里錦山20-5號(附近)","死亡1;受傷1","大型重型1-機車;行人-人;營業用-大貨車",105,"01月16日 14時10分",1,"16日 14時10分",16,"14時10分",1,1,"新竹","關西",NA,"新 竹 縣","關 西 鎮"
"78",78,"105年01月16日 16時30分","臺南市新市區大社里大社288號前路口(附近)","死亡1;受傷0","自用-小客車;普通重型-機車",105,"01月16日 16時30分",1,"16日 16時30分",16,"16時30分",1,0,"臺南市新市區大社里大社288號前路口(附近)",NA,"新","臺 南 市","新 市 區"
"79",79,"105年01月17日 09時40分","臺北市萬華區華中橋路前0公尺數機車道南往北","死亡1;受傷0","行人-人;普通輕型-機車",105,"01月17日 09時40分",1,"17日 09時40分",17,"9時40分",1,0,"臺北市萬華區華中橋路前0公尺數機車道南往北",NA,"萬華","臺 北 市","萬 華 區"
"80",80,"105年01月17日 10時19分","新北市新莊區大漢橋路前0公尺數機車道往新莊近下橋處","死亡1;受傷0","普通重型-機車",105,"01月17日 10時19分",1,"17日 10時19分",17,"10時19分",1,0,"新北市新莊區大漢橋路前0公尺數機車道往新莊近下橋處",NA,"新莊","新 北 市","新 莊 區"
"81",81,"105年01月17日 11時59分","彰化縣二林鎮斗苑路2段","死亡1;受傷3","自用-小客車;計程車-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車",105,"01月17日 11時59分",1,"17日 11時59分",17,"11時59分",1,3,"彰化","二林",NA,"彰 化 縣","二 林 鎮"
"82",82,"105年01月17日 17時43分","屏東縣恆春鎮大光里砂尾路段(墾4-1道路21公里處)(附近)","死亡1;受傷1","普通重型-機車;自用-小客車",105,"01月17日 17時43分",1,"17日 17時43分",17,"17時43分",1,1,"屏東","恆春",NA,"屏 東 縣","恆 春 鎮"
"83",83,"105年01月17日 17時55分","新北市樹林區中山路2段235號前0公尺數235號","死亡1;受傷0","行人-人;計程車-小客車;自用-小客車;自用-小客車",105,"01月17日 17時55分",1,"17日 17時55分",17,"17時55分",1,0,"新北市樹林區中山路2段235號前0公尺數235號",NA,"樹林","新 北 市","樹 林 區"
"84",84,"105年01月17日 19時43分","宜蘭縣羅東鎮博愛路16號","死亡1;受傷0","自用-小客車;行人-人",105,"01月17日 19時43分",1,"17日 19時43分",17,"19時43分",1,0,"宜蘭","羅東",NA,"宜 蘭 縣","羅 東 鎮"
"85",85,"105年01月17日 20時51分","高雄市橋頭區村成功北路前0公尺數筆秀路路口","死亡1;受傷0","自用-小客車;普通重型-機車",105,"01月17日 20時51分",1,"17日 20時51分",17,"20時51分",1,0,"高雄市橋頭區村成功北路前0公尺數筆秀路路口",NA,"橋頭","高 雄 市","橋 頭 區"
"86",86,"105年01月18日 01時44分","新竹市東區東大路一段北大路(口)","死亡1;受傷0","普通重型-機車;自用-小客車",105,"01月18日 01時44分",1,"18日 01時44分",18,"1時44分",1,0,"新竹市東區東大路一段北大路(口)",NA,"東","新 竹 市","東 區 東"
"87",87,"105年01月18日 07時55分","雲林縣麥寮鄉六輕工業區東環路220路燈桿(附近)","死亡1;受傷0","普通重型-機車;自用-小貨車",105,"01月18日 07時55分",1,"18日 07時55分",18,"7時55分",1,0,"雲林","麥寮",NA,"雲 林 縣","麥 寮 鄉"
"88",88,"105年01月18日 08時27分","花蓮縣花蓮市化道路120號前(美崙所轄區)(附近)","死亡1;受傷1","自用-小客車;行人-人;行人-人",105,"01月18日 08時27分",1,"18日 08時27分",18,"8時27分",1,1,"花蓮","花蓮","化道路120號前(美崙所轄","花 蓮 縣","花 蓮 市"
"89",89,"105年01月18日 12時40分","屏東縣屏東市前進里高屏大橋慢車道往高雄方向(附近)","死亡1;受傷1","普通重型-機車;行人-人",105,"01月18日 12時40分",1,"18日 12時40分",18,"12時40分",1,1,"屏東","屏東","前進里高屏大橋慢車道往高雄方向(附近)","屏 東 縣","屏 東 市"
"90",90,"105年01月18日 13時33分","雲林縣西螺鎮新安里市場南路振社34電桿前(附近)","死亡1;受傷0","普通重型-機車;自用-大貨車;自用-小貨車;自用-小貨車",105,"01月18日 13時33分",1,"18日 13時33分",18,"13時33分",1,0,"雲林","西螺",NA,"雲 林 縣","西 螺 鎮"
"91",91,"105年01月18日 16時45分","南投縣水里鄉上安村台21線85公里400公尺處南向外側車道","死亡1;受傷1","自用-小貨車;自用-小貨車",105,"01月18日 16時45分",1,"18日 16時45分",18,"16時45分",1,1,"南投","水里",NA,"南 投 縣","水 里 鄉"
